index,Drug_Name,Reason,Description,Description_Length
2256,bifo cream 10gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2257,bioexidil serum 60ml,Fungal,works by slowing the growth of fungi that cause infection,10
2258,bluzole dusting powder 75gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2259,btc 150mg tablet 1's,Fungal,it removes bacteria,3
2260,byfon cream 30gm,Fungal,it reduces growth of fungus,5
2261,c win cream 30gm,Fungal,it removes moisture,3
2262,canazole 1% dusting powder 100gmcanazole 1% dusting powder 30gmcanazole 1% lotion 15mlcanazole mouth paint 15mlcanazole 1% cream 15gmcanazole gel 30gmcanazole 1% ear drops 10ml,Fungal,treat associated penile thrush (candidal balanitis),6
2263,canazole vg 100mg tablet 6'scanazole vg 2% gel 30gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2264,cancidas 50mg injection 10mlcancidas 75mg injection 10ml,Fungal,works by slowing the growth of fungi that cause infection,10
2265,cancigin 70mg injection 1mlcancigin 70mg injectioncancigin 50mg injection,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2266,candiclo cream 15gm,Fungal,it removes bacteria,3
2267,candicom 200mg capsule 10'scandicom 100mg capsule 10's,Fungal,it reduces growth of fungus,5
2268,candidc cream 50gmcandid cream 30gmcandid soap 125gmcandid b lotion 30mlcandid tv lotion 60mlcandid soap 50gmcandid cream 50gmcandid gel 15gmcandid lotion 30ml,Fungal,it removes moisture,3
2269,candid b cream 30gmcandid b cream 10gmcandid b cream 20gm,Fungal,treat associated penile thrush (candidal balanitis),6
2270,candid cool dusting powder 50gmcandid cool dusting powder 100gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2271,candid gold cream 50gmcandid gold powder 100gmcandid gold powder 50gmcandid gold cream 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2272,candid kz 2% soap 75gmcandid kz 2% cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2273,candid kz premium soap 75gm,Fungal,it removes bacteria,3
2274,candid medicated soap 125gmcandid medicated soap 50gm,Fungal,it reduces growth of fungus,5
2275,candid renew talc powder 250gmcandid renew talc powder 100gm,Fungal,it removes moisture,3
2276,candid total plus cream 20gm,Fungal,it removes bacteria,3
2277,candidal 50mg injection 1'scandidal 70mg injection 1's,Fungal,it reduces growth of fungus,5
2278,candidb 0.025/1% dusting powder 100gm,Fungal,it removes moisture,3
2279,candidox cream 30gmcandidox spray 50mlcandidox lotion 30ml,Fungal,treat associated penile thrush (candidal balanitis),6
2280,candiforce 400mg tablet 4'scandiforce 100mg capsule 4'scandiforce 200mg capsule 7's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2281,candigyl 150mg tablet 1'scandigyl 100mg tablet 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2282,candimale cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2283,candirap 200mg capsule 4'scandirap 2% dusting powder 50gmcandirap 100mg capsule 4'scandirap cream 10gmcandirap 400mg capsule 4's,Fungal,it removes bacteria,3
2284,candistat 2% cream 15gmcandistat 100mg capsule 2'scandistat capsule 4's,Fungal,it reduces growth of fungus,5
2285,canditas dusting powder 75gm,Fungal,it removes moisture,3
2286,canditral 100mg capsule 10'scanditral 200mg capsule 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2287,candituf 200mg capsule 4'scandituf 100mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2288,canditz 200mg capsule 10'scanditz capsule 10'scanditz 100mg capsule 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2289,candizole t tablet 8's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2290,cando v 100mg tablet 6's,Fungal,it removes bacteria,3
2291,candrea suppository 3's,Fungal,it reduces growth of fungus,5
2292,canesten powder 100gmcanesten cream 15gmcanesten solution 15ml,Fungal,it removes moisture,3
2293,canesten s cream 10gm,Fungal,treat associated penile thrush (candidal balanitis),6
2294,canidula 100mg injection 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2295,canitra 100mg capsule 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2296,canrolfin cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2297,cans kit 1's,Fungal,it removes bacteria,3
2298,cansoft 100mg pessaries 6'scansoft 100 mg pessarie 6,Fungal,it reduces growth of fungus,5
2299,cantop v 6mg tablet 6's,Fungal,it removes moisture,3
2300,canzika 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2301,canzorb powder 100gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2302,capofin 50mg injection,Fungal,works by slowing the growth of fungi that cause infection,10
2303,capsain 70mg injection 10mlcapsain 50mg injection 10ml,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2304,casfung 70mg injectioncasfung 50mg injection,Fungal,it removes bacteria,3
2305,caspercid 50mg injection 1'scaspercid 70mg injection 1's,Fungal,it reduces growth of fungus,5
2306,caspifung 50mg injection 1'scaspifung 70mg injection 1's,Fungal,it removes moisture,3
2307,caspledge 50mg injection 1's,Fungal,it removes bacteria,3
2308,caspogard 50mg injection 1'scaspogard 70mg injection 1's,Fungal,it reduces growth of fungus,5
2309,caspogin 70mg injection 10mlcaspogin 50mg injection 10ml,Fungal,it removes moisture,3
2310,casponex 50 mg injection 1'scasponex 70 mg injection 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2311,casporan 70mg injectioncasporan 50mg injection,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2312,caspotaz 70mg injection 1mlcaspotaz 50mg injection 1ml,Fungal,works by slowing the growth of fungi that cause infection,10
2313,ceastra 100mg capsule 4'sceastra 200mg capsule 4's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2314,ceastra xl 100mg capsule 7'sceastra xl 200mg capsule 7's,Fungal,it removes bacteria,3
2315,clingen plus suppository 7's,Fungal,it reduces growth of fungus,5
2316,clinhair shampoo 100mlclinhair gel 40gm,Fungal,it removes moisture,3
2317,cloben dusting powder 100gmcloben liquid 50mlcloben g cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2318,cloben g cream 5gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2319,clobetagen m cream 15gm,Fungal,works by slowing the growth of fungi that cause infection,10
2320,clobitra 100mg capsule 4'sclobitra 200mg capsule 10'sclobitra 200mg capsule 4'sclobitra 100mg capsule 10's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2321,clocip b cream 10gmclocip powder 100gmclocip dusting powder 75gmclocip cream 15gm,Fungal,it removes bacteria,3
2322,clocip b cream 5gm,Fungal,it reduces growth of fungus,5
2323,clodid vt 6mg tablet 6's,Fungal,it removes moisture,3
2324,clogen tablet 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2325,clostar gm cream 16gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2326,clotrilin 100mg tablet 6's,Fungal,works by slowing the growth of fungi that cause infection,10
2327,clotrimb 0.025/1% cream 5gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2328,clotrin cream 15gm,Fungal,it removes bacteria,3
2329,clotrin b cream 10gmclotrin b lotion 15ml,Fungal,it reduces growth of fungus,5
2330,cona 150mg tablet 1's,Fungal,it removes moisture,3
2331,conaderm shampoo 50ml,Fungal,treat associated penile thrush (candidal balanitis),6
2332,conflu 200mg capsule 4'sconflu 150mg capsuleconflu 0.3% eye drops 5ml,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2333,coniderm cream 15gmconiderm 100mg tablet 4'sconiderm cream 20gm,Fungal,works by slowing the growth of fungi that cause infection,10
2334,coniderm f cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2335,coniderm fb cream 20gm,Fungal,it removes bacteria,3
2336,coniderm l cream 10gm,Fungal,it reduces growth of fungus,5
2337,cosbeta itz 100mg tablet 7'scosbeta itz 200mg tablet 7'scosbeta itz 100mg capsule 10'scosbeta itz 200mg capsule 10's,Fungal,it removes moisture,3
2338,cosvate nm cream 15gm,Fungal,it removes bacteria,3
2339,critposa 18mg injection 1's,Fungal,it reduces growth of fungus,5
2340,crousho gel 30gm,Fungal,it removes moisture,3
2341,crurix cream 30gm,Fungal,treat associated penile thrush (candidal balanitis),6
2342,ctzole cream 15gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2343,curemite lotion 60ml,Fungal,works by slowing the growth of fungi that cause infection,10
2344,cuticare cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2345,cytoflu 500mg tablet 50's,Fungal,it removes bacteria,3
2346,czson cream 20gmczson dusting powder 100gm,Fungal,it reduces growth of fungus,5
2347,czson b cream 20gm,Fungal,it removes moisture,3
2348,czson nb cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2349,daktacort gel 5gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2350,daktarin 2% gel 20gm,Fungal,works by slowing the growth of fungi that cause infection,10
2351,daktarin t cream 15gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2352,danclear gel 90gmdanclear cream 50gm,Fungal,it removes bacteria,3
2353,dancure shampoo 50ml,Fungal,it reduces growth of fungus,5
2354,dandrop lotion 60ml,Fungal,it removes moisture,3
2355,danfree 2% lotion 50mldanfree 2% shampoo 100mldanfree 1% shampoo 100ml,Fungal,treat associated penile thrush (candidal balanitis),6
2356,danket shampoo 50mldanket shampoo 125ml,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2357,daskil 1% cream 10gmdaskil 250mg tablet 7's,Fungal,works by slowing the growth of fungi that cause infection,10
2358,denfast shampoo 60ml,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2359,derketo soap 75gm,Fungal,it removes bacteria,3
2360,dermalex cream 100gm,Fungal,it reduces growth of fungus,5
2361,dermizole 2% cream 15gm,Fungal,it removes moisture,3
2362,dermonorm 250mg tablet 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2363,dermoquinol 8% cream 25gmdermoquinol 8% ointment 15gmdermoquinol 4% ointment 15gmdermoquinol 4% cream 25gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2364,dermosav cream 20gm,Fungal,works by slowing the growth of fungi that cause infection,10
2365,dermotriad cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2366,dermotriad plus cream 10gm,Fungal,it removes bacteria,3
2367,dexoderm 250mg tablet 7's,Fungal,it reduces growth of fungus,5
2368,dk gel 30gm,Fungal,it removes moisture,3
2369,dk gel dusting powder 100gm,Fungal,it removes bacteria,3
2370,dulaedge 100mg injection 1's,Fungal,it reduces growth of fungus,5
2371,eberclin cream 30gmeberclin cream 15gm,Fungal,it removes moisture,3
2372,eberclin m cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2373,ebercos cream 15gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2374,eberderm cream 15gmeberderm cream 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2375,eberfine cream 50gmeberfine cream 15gmeberfine cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2376,eberfine m cream 15gm,Fungal,it removes bacteria,3
2377,eberjen cream 20gm,Fungal,it reduces growth of fungus,5
2378,eberjen m cream 10gm,Fungal,it removes moisture,3
2379,ebermac 1% cream 30gmebermac ointment 30gmebermac 1% cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2380,ebernet cream 15gmebernet lotion 40gmebernet m cream 15gmebernet cream 30gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2381,ebernet m cream 5gm,Fungal,works by slowing the growth of fungi that cause infection,10
2382,eberwin cream 60gmeberwin cream 15gmeberwin cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2383,eberzole 1% cream 15gm,Fungal,it removes bacteria,3
2384,ebspor cream 30gmebspor cream 50gmebspor cream 15gm,Fungal,it reduces growth of fungus,5
2385,ecodax g cream 10gmecodax g cream 15gm,Fungal,it removes moisture,3
2386,eldoben suspension 200ml,Fungal,treat associated penile thrush (candidal balanitis),6
2387,elice lotion 60mlelice soap 75gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2388,elmovel tf ointment 10gm,Fungal,works by slowing the growth of fungi that cause infection,10
2389,emluz 1% cream 20gmemluz 1% cream 40gmemluz 1% lotion 15mlemluz cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2390,emrolfin cream 50gmemrolfin cream 30gm,Fungal,it removes bacteria,3
2391,endfung 100mg injection 1's,Fungal,it reduces growth of fungus,5
2392,entozole 1% eye drops 5ml,Fungal,it removes moisture,3
2393,episert cream 20gm,Fungal,treat associated penile thrush (candidal balanitis),6
2394,eraxis 100mg injection 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2395,erbimesh 1% cream 15gmerbimesh 1% cream 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2396,erbinox tablet 7's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2397,ergozol 150mg capsule 2's,Fungal,it removes bacteria,3
2398,escrab cream 60gmescrab soap 75gm,Fungal,it reduces growth of fungus,5
2399,eumosone m cream 15gm,Fungal,it removes moisture,3
2400,exel m cream 16gm,Fungal,it removes bacteria,3
2401,ezimet cream 10gm,Fungal,it reduces growth of fungus,5
2402,ezob cream 30gm,Fungal,it removes moisture,3
2403,f con 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2404,f next dusting powder 75gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2405,fabizol 2% powder 75gmfabizol 150mg tablet 4'sfabizol 400mg tablet,Fungal,works by slowing the growth of fungi that cause infection,10
2406,fcn 150mg tablet 2'sfcn 150mg tablet 1'sfcn 200mg tablet 2's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2407,fenza cream 10gmfenza cream 30gmfenza 600mg capsule,Fungal,it removes bacteria,3
2408,fenza l cream 10gm,Fungal,it reduces growth of fungus,5
2409,finlin cream 10gmfinlin 250mg tablet 7's,Fungal,it removes moisture,3
2410,fintop cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2411,fintop af cream 15gmfintop af cream 30gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2412,fintrix 250mg tablet 7'sfintrix cream 10gm,Fungal,works by slowing the growth of fungi that cause infection,10
2413,fivasa 600mg capsule 1'sfivasa cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2414,fixtral 100mg capsule 7'sfixtral 200mg capsule 10's,Fungal,it removes bacteria,3
2415,flow 200mg tablet 10'sflow 150mg capsule 1's,Fungal,it reduces growth of fungus,5
2416,flu 150mg tablet 1's,Fungal,it removes moisture,3
2417,flubet 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2418,flucalup 50mg tablet 4'sflucalup 150mg tablet 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2419,flucaz 150mg tablet,Fungal,works by slowing the growth of fungi that cause infection,10
2420,flucess 150mg tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2421,flucofit 150mg tablet 1's,Fungal,it removes bacteria,3
2422,flucort c ointment 10gmflucort c cream 15gmflucort c ointment 15gmflucort c cream 10gm,Fungal,it reduces growth of fungus,5
2423,flucortmz 0.01/2% cream 15gm,Fungal,it removes moisture,3
2424,flucos lotion 60mlflucos dusting powder 100gmflucos 200mg tablet 4'sflucos 0.5%w/w gel 15gmflucos dusting powder 150gmflucos 400mg tablet 1'sflucos 150mg tablet 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2425,flucos dt 50mg tablet 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2426,flucos itz 100mg capsule 10'sflucos itz powder 75gmflucos itz 200mg capsule 10'sflucos itz 200mg tablet 7'sflucos itz 100mg tablet 7'sflucos itz 400mg tablet 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2427,flucoti tablet 2's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2428,fluent 150mg tablet 1's,Fungal,it removes bacteria,3
2429,flufung 50mg tablet 4'sflufung 400mg tablet 3'sflufung 150mg tablet,Fungal,it reduces growth of fungus,5
2430,flugee 150mg tablet 20'sflugee 150mg tablet 1's,Fungal,it removes moisture,3
2431,fluka 150mg tabletfluka 150mg capsule 1's,Fungal,it removes bacteria,3
2432,flukem 150mg tablet 1's,Fungal,it reduces growth of fungus,5
2433,flukonazole 150mg capsule 1's,Fungal,it removes moisture,3
2434,flumax 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2435,flumed 150mg tablet 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2436,flumet gel 15gmflumet 150mg tablet 1'sflumet soap 75gm,Fungal,works by slowing the growth of fungi that cause infection,10
2437,flumet plus tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2438,flumik 150mg capsule 3's,Fungal,it removes bacteria,3
2439,flunaz 50mg tablet 10'sflunaz 150mg tablet 1's,Fungal,it reduces growth of fungus,5
2440,fluneon 200mg infusion 100ml,Fungal,it removes moisture,3
2441,flunova 200mg tablet 10'sflunova 150mg tablet 1'sflunova 50mg tablet 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2442,fluri 5mg tablet 10's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2443,flustan 150mg tablet 1'sflustan 200mg tablet 4'sflustan dt 100mg tablet 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2444,flustate 150mg tablet 5's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2445,flusyst 150mg tablet 1's,Fungal,it removes bacteria,3
2446,flutas 400mg tablet 1'sflutas 50mg tablet 4'sflutas 150mg tablet 1's,Fungal,it reduces growth of fungus,5
2447,flutini 150/1000mg kit 1's,Fungal,it removes moisture,3
2448,flutrox 150mg capsule 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2449,flutycandy 100mg capsule 4'sflutycandy 2% dusting powder 75gmflutycandy 200mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2450,fluza 150mg tablet 1's,Fungal,works by slowing the growth of fungi that cause infection,10
2451,fluzip tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2452,fluzol 150mg tablet 1's,Fungal,it removes bacteria,3
2453,fluzon 150mg tablet 1'sfluzon 50mg tablet 4's,Fungal,it reduces growth of fungus,5
2454,fole 150mg tablet 1'sfole 400mg tablet 1'sfole 100mg tablet 1'sfole 200mg tablet 1's,Fungal,it removes moisture,3
2455,fonazole 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2456,forcan 200mg tablet 4'sforcan infusion 100mlforcan 150mg capsuleforcan 150mg tabletforcan 10mg suspension 30mlforcan 50mg tablet 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2457,forcan baby injection 25ml,Fungal,works by slowing the growth of fungi that cause infection,10
2458,forcan dt 100mg tablet 10'sforcan dt 100mg tablet 4's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2459,forcan plus infusion 200ml,Fungal,it removes bacteria,3
2460,forcan tz capsule 4'sforcan tz tablet 3's,Fungal,it reduces growth of fungus,5
2461,fourderm af cream 10gmfourderm af cream 5gm,Fungal,it removes moisture,3
2462,fucross 100mg capsule 10'sfucross 200mg capsule 10's,Fungal,it removes bacteria,3
2463,fumate cream 10gm,Fungal,it reduces growth of fungus,5
2464,fumycin 150mg capsule 1'sfumycin 100mg tablet 10's,Fungal,it removes moisture,3
2465,funaz 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2466,fungdid b cream 15gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2467,fungeeheal 100mg capsule 7'sfungeeheal 200mg capsule 7's,Fungal,works by slowing the growth of fungi that cause infection,10
2468,fungi 150mg capsule 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2469,fungiban 150mg tablet 1's,Fungal,it removes bacteria,3
2470,fungicide 200mg tablet 10's,Fungal,it reduces growth of fungus,5
2471,fungicip 150mg tablet 1'sfungicip 200mg tablet 1's,Fungal,it removes moisture,3
2472,fungicon 50mg capsule 2'sfungicon 150mg capsule 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2473,fungicreme cream 10gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2474,fungicros cream 10gmfungicros cream 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2475,fungid best 150mg tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2476,fungid nc cream 15gm,Fungal,it removes bacteria,3
2477,fungiforce itra 100mg capsule 4'sfungiforce itra 200mg capsule 4's,Fungal,it reduces growth of fungus,5
2478,fungikem dusting powder 75gmfungikem 200mg capsule 7'sfungikem 100mg capsule 10'sfungikem 100mg capsule 7'sfungikem 200mg capsule 4's,Fungal,it removes moisture,3
2479,fungikem o 150mg tablet 1's,Fungal,treat associated penile thrush (candidal balanitis),6
2480,fungina 150mg capsule 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2481,fungirex gel 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2482,fungiset 150mg tablet 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2483,fungisome 25mg injection 25mlfungisome 10mg injection 10ml,Fungal,it removes bacteria,3
2484,fungiterb 250mg tablet 7'sfungiterb cream 10gm,Fungal,it reduces growth of fungus,5
2485,fungitop cream 15gm,Fungal,it removes moisture,3
2486,fungizone 50mg injection 10ml,Fungal,treat associated penile thrush (candidal balanitis),6
2487,fungnil v 100mg tablet 6's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2488,fungo 150mg tablet 1's,Fungal,works by slowing the growth of fungi that cause infection,10
2489,fungotek cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2490,funspor dusting powder 100gmfunspor 150mg tablet 2'sfunspor 150mg tablet 1's,Fungal,it removes bacteria,3
2491,funzi 250mg tablet 10's,Fungal,it reduces growth of fungus,5
2492,funzi it 100mg capsule 4'sfunzi it 200mg capsule 10'sfunzi it 200mg capsule 4's,Fungal,it removes moisture,3
2493,funzi it sr 200mg tablet 4's,Fungal,it removes bacteria,3
2494,funzi l 1% cream 30gmfunzi l lotion 30ml,Fungal,it reduces growth of fungus,5
2495,fusys 200mg tablet 4'sfusys 150mg tablet 6'sfusys 150mg tablet 1'sfusys 200mg tablet 2's,Fungal,it removes moisture,3
2496,fusys dt 50mg tablet 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2497,fusys tz 150/1000mg tablet 3's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2498,futiza 200mg tablet 2's,Fungal,works by slowing the growth of fungi that cause infection,10
2499,futrap 150mg tablet 1'sfutrap 150mg tablet 5's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2500,fytin soap 75gmfytin 2% cream 15gm,Fungal,it removes bacteria,3
2501,fz 150mg tablet 10's,Fungal,it reduces growth of fungus,5
2502,fzhh 150mg tablet,Fungal,it removes moisture,3
2503,galitra 100mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2504,gamabest lotion 100ml,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2505,gamamed lotion 100ml,Fungal,works by slowing the growth of fungi that cause infection,10
2506,gancigel eye ointment 5gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2507,gatrimav 100mg tablet 6's,Fungal,it removes bacteria,3
2508,gbhc soap 50gm,Fungal,it reduces growth of fungus,5
2509,gentalene plus cream 20gm,Fungal,it removes moisture,3
2510,gerderm 0.025/0.5/1% cream 10gmgerderm 0.025/0.5/1% cream 5gm,Fungal,treat associated penile thrush (candidal balanitis),6
